epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,637.464,1.35133,2.0339,0.00808,0.50251,0.15279,0.17442,0.10001,1.66972,2.13014,0.01951,0.0007773,0.0002591,0.0007773,0.0002591,0.0007773,0.0002591,0.0007773,0.0002591
75,645.693,1.34258,2.06129,0.00799,0.48268,0.18183,0.17917,0.10477,1.65322,2.0993,0.01947,0.0007674,0.0002558,0.0007674,0.0002558,0.0007674,0.0002558,0.0007674,0.0002558
76,654.057,1.35136,2.01955,0.00797,0.40787,0.20395,0.17628,0.10113,1.7072,2.10986,0.0194,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525
77,662.453,1.33464,2.03728,0.00769,0.51037,0.14248,0.17932,0.10279,1.6782,2.10037,0.0192,0.0007476,0.0002492,0.0007476,0.0002492,0.0007476,0.0002492,0.0007476,0.0002492
78,670.872,1.34421,2.00446,0.00801,0.50827,0.14764,0.17532,0.09911,1.68022,2.08395,0.0193,0.0007377,0.0002459,0.0007377,0.0002459,0.0007377,0.0002459,0.0007377,0.0002459
79,679.14,1.36926,2.00098,0.00826,0.33381,0.20795,0.18168,0.10001,1.69313,2.10558,0.01924,0.0007278,0.0002426,0.0007278,0.0002426,0.0007278,0.0002426,0.0007278,0.0002426
80,687.521,1.34914,1.98519,0.00786,0.44098,0.17789,0.17734,0.09875,1.69998,2.08465,0.01954,0.0007179,0.0002393,0.0007179,0.0002393,0.0007179,0.0002393,0.0007179,0.0002393
81,696.158,1.32946,1.93101,0.00798,0.50914,0.14219,0.17412,0.0985,1.69687,2.09429,0.01982,0.000708,0.000236,0.000708,0.000236,0.000708,0.000236,0.000708,0.000236
82,704.233,1.34372,1.91373,0.00821,0.31028,0.20309,0.17921,0.10323,1.65178,2.04778,0.01934,0.0006981,0.0002327,0.0006981,0.0002327,0.0006981,0.0002327,0.0006981,0.0002327
83,712.174,1.34225,1.95426,0.00788,0.53354,0.14772,0.18097,0.10058,1.69804,2.0388,0.01977,0.0006882,0.0002294,0.0006882,0.0002294,0.0006882,0.0002294,0.0006882,0.0002294
84,720.108,1.35482,1.94916,0.00807,0.43415,0.16555,0.17566,0.09805,1.69166,2.03848,0.01972,0.0006783,0.0002261,0.0006783,0.0002261,0.0006783,0.0002261,0.0006783,0.0002261
85,728.127,1.33879,1.93852,0.008,0.39635,0.18507,0.17731,0.09657,1.72253,2.08172,0.02004,0.0006684,0.0002228,0.0006684,0.0002228,0.0006684,0.0002228,0.0006684,0.0002228
86,736.267,1.36104,1.94646,0.00814,0.39454,0.19666,0.1778,0.09888,1.69761,2.06514,0.01988,0.0006585,0.0002195,0.0006585,0.0002195,0.0006585,0.0002195,0.0006585,0.0002195
87,744.367,1.33387,1.87718,0.00792,0.39677,0.16985,0.18004,0.09986,1.69377,2.08304,0.01949,0.0006486,0.0002162,0.0006486,0.0002162,0.0006486,0.0002162,0.0006486,0.0002162
88,752.462,1.3353,1.89537,0.00797,0.39908,0.17032,0.17673,0.09931,1.70411,2.07373,0.01946,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129
89,760.461,1.31398,1.84707,0.00781,0.36716,0.16968,0.1759,0.0978,1.72452,2.04218,0.01959,0.0006288,0.0002096,0.0006288,0.0002096,0.0006288,0.0002096,0.0006288,0.0002096
90,769.067,1.32486,1.87171,0.00798,0.45346,0.15537,0.17602,0.09783,1.71791,2.10165,0.01971,0.0006189,0.0002063,0.0006189,0.0002063,0.0006189,0.0002063,0.0006189,0.0002063
91,777.654,1.3214,1.84443,0.00783,0.37317,0.17529,0.17386,0.09721,1.71951,2.06746,0.0196,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203
92,786.017,1.32203,1.89239,0.00778,0.43177,0.18312,0.17805,0.09998,1.67574,2.0316,0.01936,0.0005991,0.0001997,0.0005991,0.0001997,0.0005991,0.0001997,0.0005991,0.0001997
93,794.22,1.31098,1.86031,0.00787,0.50492,0.15361,0.17301,0.09809,1.7045,2.04962,0.01942,0.0005892,0.0001964,0.0005892,0.0001964,0.0005892,0.0001964,0.0005892,0.0001964
