epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,1259.6,1.50423,2.61295,0.00864,0.60608,0.28115,0.33675,0.19616,1.67313,2.14451,0.01696,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515
62,1279.52,1.48914,2.60644,0.00865,0.50796,0.29032,0.31931,0.18417,1.64076,2.20084,0.01665,0.00104708,0.000349025,0.00104708,0.000349025,0.00104708,0.000349025,0.00104708,0.000349025
63,1300.12,1.47791,2.51332,0.00825,0.55127,0.29029,0.32576,0.19406,1.65262,2.14887,0.01635,0.00103965,0.00034655,0.00103965,0.00034655,0.00103965,0.00034655,0.00103965,0.00034655
64,1320.29,1.49406,2.47564,0.00853,0.53213,0.31909,0.3349,0.19351,1.69273,2.12143,0.01707,0.00103223,0.000344075,0.00103223,0.000344075,0.00103223,0.000344075,0.00103223,0.000344075
65,1340.43,1.51024,2.51968,0.0086,0.52155,0.31365,0.32968,0.19196,1.67806,2.16441,0.01699,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416,0.0010248,0.0003416
66,1360.51,1.49222,2.4184,0.00834,0.57904,0.28518,0.32498,0.18756,1.66063,2.1629,0.01639,0.00101738,0.000339125,0.00101738,0.000339125,0.00101738,0.000339125,0.00101738,0.000339125
67,1380.44,1.48679,2.45149,0.00853,0.55244,0.31468,0.33251,0.1921,1.6575,2.15354,0.01639,0.00100995,0.00033665,0.00100995,0.00033665,0.00100995,0.00033665,0.00100995,0.00033665
68,1401.28,1.49515,2.3991,0.00847,0.56544,0.30836,0.33351,0.19227,1.66226,2.14295,0.01671,0.00100252,0.000334175,0.00100252,0.000334175,0.00100252,0.000334175,0.00100252,0.000334175
69,1421.5,1.4897,2.40855,0.00854,0.56895,0.30614,0.3306,0.19157,1.67728,2.15457,0.01641,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317,0.0009951,0.0003317
70,1441.46,1.48864,2.35125,0.00813,0.53422,0.32615,0.33278,0.19232,1.71853,2.15274,0.01736,0.000987675,0.000329225,0.000987675,0.000329225,0.000987675,0.000329225,0.000987675,0.000329225
