epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,56.1766,1.08133,3.26004,0.01554,0.90932,0.64347,0.88198,0.62075,1.69321,1.29792,0.01458,7.53059e-05,2.5102e-05,7.53059e-05,2.5102e-05,7.53059e-05,2.5102e-05,7.53059e-05,2.5102e-05
73,56.6111,1.25104,2.77982,0.01996,0.90932,0.64347,0.88198,0.62075,1.69321,1.29792,0.01458,7.38219e-05,2.46073e-05,7.38219e-05,2.46073e-05,7.38219e-05,2.46073e-05,7.38219e-05,2.46073e-05
74,57.0401,0.8564,2.08114,0.01327,0.90932,0.64347,0.88198,0.62075,1.69321,1.29792,0.01458,7.22672e-05,2.40891e-05,7.22672e-05,2.40891e-05,7.22672e-05,2.40891e-05,7.22672e-05,2.40891e-05
75,57.68,1.04621,2.46159,0.01011,0.88665,0.64725,0.88011,0.6198,1.72257,1.32271,0.01471,7.06417e-05,2.35472e-05,7.06417e-05,2.35472e-05,7.06417e-05,2.35472e-05,7.06417e-05,2.35472e-05
76,58.1066,1.08474,1.94615,0.01412,0.88665,0.64725,0.88011,0.6198,1.72257,1.32271,0.01471,6.89456e-05,2.29819e-05,6.89456e-05,2.29819e-05,6.89456e-05,2.29819e-05,6.89456e-05,2.29819e-05
77,58.5437,1.30948,2.60785,0.015,0.88665,0.64725,0.88011,0.6198,1.72257,1.32271,0.01471,6.71788e-05,2.23929e-05,6.71788e-05,2.23929e-05,6.71788e-05,2.23929e-05,6.71788e-05,2.23929e-05
78,59.182,1.51435,2.88549,0.02211,0.81965,0.65994,0.87848,0.61899,1.67289,1.36019,0.01327,6.53414e-05,2.17805e-05,6.53414e-05,2.17805e-05,6.53414e-05,2.17805e-05,6.53414e-05,2.17805e-05
79,59.762,1.13933,2.51074,0.01766,0.81965,0.65994,0.87848,0.61899,1.67289,1.36019,0.01327,6.34332e-05,2.11444e-05,6.34332e-05,2.11444e-05,6.34332e-05,2.11444e-05,6.34332e-05,2.11444e-05
80,60.1928,1.1662,2.22976,0.01104,0.81965,0.65994,0.87848,0.61899,1.67289,1.36019,0.01327,6.14543e-05,2.04848e-05,6.14543e-05,2.04848e-05,6.14543e-05,2.04848e-05,6.14543e-05,2.04848e-05
81,60.826,1.18827,3.29681,0.02215,0.893,0.64163,0.87742,0.61373,1.69079,1.3149,0.01456,5.94048e-05,1.98016e-05,5.94048e-05,1.98016e-05,5.94048e-05,1.98016e-05,5.94048e-05,1.98016e-05
82,61.2537,1.08263,1.72347,0.01889,0.893,0.64163,0.87742,0.61373,1.69079,1.3149,0.01456,5.72846e-05,1.90949e-05,5.72846e-05,1.90949e-05,5.72846e-05,1.90949e-05,5.72846e-05,1.90949e-05
83,61.6874,1.16617,2.50638,0.01963,0.893,0.64163,0.87742,0.61373,1.69079,1.3149,0.01456,5.50937e-05,1.83646e-05,5.50937e-05,1.83646e-05,5.50937e-05,1.83646e-05,5.50937e-05,1.83646e-05
84,62.3279,1.02028,2.28799,0.01615,0.89594,0.64209,0.87727,0.60996,1.79556,1.20217,0.01547,5.28321e-05,1.76107e-05,5.28321e-05,1.76107e-05,5.28321e-05,1.76107e-05,5.28321e-05,1.76107e-05
85,62.7565,1.29636,2.96416,0.01541,0.89594,0.64209,0.87727,0.60996,1.79556,1.20217,0.01547,5.04998e-05,1.68333e-05,5.04998e-05,1.68333e-05,5.04998e-05,1.68333e-05,5.04998e-05,1.68333e-05
86,63.1876,1.12947,2.73447,0.01432,0.89594,0.64209,0.87727,0.60996,1.79556,1.20217,0.01547,4.80968e-05,1.60323e-05,4.80968e-05,1.60323e-05,4.80968e-05,1.60323e-05,4.80968e-05,1.60323e-05
87,63.6255,1.36954,4.18017,0.02897,0.89594,0.64209,0.87727,0.60996,1.79556,1.20217,0.01547,4.56232e-05,1.52077e-05,4.56232e-05,1.52077e-05,4.56232e-05,1.52077e-05,4.56232e-05,1.52077e-05
88,64.2577,1.07358,2.40173,0.01285,0.79142,0.7,0.87608,0.64402,1.77294,1.23494,0.01416,4.30788e-05,1.43596e-05,4.30788e-05,1.43596e-05,4.30788e-05,1.43596e-05,4.30788e-05,1.43596e-05
89,64.8201,1.06379,2.80959,0.0199,0.79142,0.7,0.87608,0.64402,1.77294,1.23494,0.01416,4.04638e-05,1.34879e-05,4.04638e-05,1.34879e-05,4.04638e-05,1.34879e-05,4.04638e-05,1.34879e-05
90,65.2453,1.26897,3.14516,0.02319,0.79142,0.7,0.87608,0.64402,1.77294,1.23494,0.01416,3.77781e-05,1.25927e-05,3.77781e-05,1.25927e-05,3.77781e-05,1.25927e-05,3.77781e-05,1.25927e-05
91,66.2949,0.97237,1.72065,0.01454,0.79142,0.7,0.87608,0.64402,1.77294,1.23494,0.01416,3.50217e-05,1.16739e-05,3.50217e-05,1.16739e-05,3.50217e-05,1.16739e-05,3.50217e-05,1.16739e-05
92,66.9751,0.86419,1.77741,0.01397,0.78764,0.65948,0.87825,0.60725,1.83808,1.22071,0.01614,3.21946e-05,1.07315e-05,3.21946e-05,1.07315e-05,3.21946e-05,1.07315e-05,3.21946e-05,1.07315e-05
93,67.4191,0.99021,1.68456,0.0132,0.78764,0.65948,0.87825,0.60725,1.83808,1.22071,0.01614,2.92968e-05,9.76562e-06,2.92968e-05,9.76562e-06,2.92968e-05,9.76562e-06,2.92968e-05,9.76562e-06
94,67.8488,0.97208,1.75169,0.01132,0.78764,0.65948,0.87825,0.60725,1.83808,1.22071,0.01614,2.63284e-05,8.77613e-06,2.63284e-05,8.77613e-06,2.63284e-05,8.77613e-06,2.63284e-05,8.77613e-06
95,68.2837,0.95356,1.64649,0.01288,0.78764,0.65948,0.87825,0.60725,1.83808,1.22071,0.01614,2.32893e-05,7.76308e-06,2.32893e-05,7.76308e-06,2.32893e-05,7.76308e-06,2.32893e-05,7.76308e-06
96,68.9292,0.76197,1.67389,0.00956,0.78886,0.65417,0.83849,0.62057,1.7738,1.12601,0.014,2.01794e-05,6.72648e-06,2.01794e-05,6.72648e-06,2.01794e-05,6.72648e-06,2.01794e-05,6.72648e-06
97,69.3591,0.94827,1.98908,0.01468,0.78886,0.65417,0.83849,0.62057,1.7738,1.12601,0.014,1.69989e-05,5.6663e-06,1.69989e-05,5.6663e-06,1.69989e-05,5.6663e-06,1.69989e-05,5.6663e-06
98,70.0233,0.8672,1.41083,0.0113,0.78886,0.65417,0.83849,0.62057,1.7738,1.12601,0.014,1.37477e-05,4.58257e-06,1.37477e-05,4.58257e-06,1.37477e-05,4.58257e-06,1.37477e-05,4.58257e-06
99,70.4499,1.30924,2.3899,0.02574,0.78886,0.65417,0.83849,0.62057,1.7738,1.12601,0.014,1.04258e-05,3.47528e-06,1.04258e-05,3.47528e-06,1.04258e-05,3.47528e-06,1.04258e-05,3.47528e-06
100,70.9049,0.94706,1.33047,0.013,0.81976,0.6502,0.87975,0.63817,1.74504,1.11049,0.01334,7.03326e-06,2.34442e-06,7.03326e-06,2.34442e-06,7.03326e-06,2.34442e-06,7.03326e-06,2.34442e-06
